objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587727177938567334,1.833158,1.87937,1.683374,1.638706,1.637786,3.972497,4.774535,4.718902,4.821481,4.878317,2.279931,2.281596,2.34581,2.322247,2.310807,19.856758,18.041746,16.870306,16.433062,16.184879,19.856758,18.041746,16.870306,16.433062,16.184879,19.917805,18.117975,16.980337,16.563215,16.341341
587724241771495583,1.6202,1.676829,1.670813,1.624074,1.476182,3.429299,5.23337,5.180787,5.091719,4.541478,2.314716,2.290362,2.295232,2.332134,2.31892,20.39912,18.472258,17.36488,16.907726,16.547573,20.39912,18.472258,17.36488,16.907726,16.547573,20.482904,18.508575,17.406624,16.955635,16.671663
587724240160817366,5.019019,4.494743,4.346091,4.205667,4.448457,7.897651,8.939489,8.888338,9.055593,11.395799,0.702495,1.958196,2.138319,2.306847,2.292348,19.454443,17.757391,16.90844,16.436565,16.091095,19.454443,17.757391,16.90844,16.436565,16.091095,19.27248,17.723082,16.926731,16.482655,16.119699
587724240160817222,2.124783,0.86448,1.047562,1.935198,-9999,4.793186,5.782849,1.715062,5.383698,-9999,1.553606,5.826145,0.813396,2.206048,1.323015,21.552042,22.903202,21.724571,20.456081,21.525812,21.552042,22.903202,21.724571,20.456081,21.525812,21.619209,23.612701,22.571648,20.737656,22.8461
587727177938567393,2.013816,2.107611,1.872193,1.779135,1.977243,3.282833,4.591232,4.399419,3.983094,4.729558,1.981592,2.319344,2.369105,2.350564,2.327984,20.839857,18.995638,17.873848,17.399281,17.082083,20.839857,18.995638,17.873848,17.399281,17.082083,20.71851,18.90456,17.830191,17.411749,17.044277
587727179549311092,1.876801,2.17778,1.957869,2.01154,1.84788,6.556154,6.204426,6.104219,6.25718,5.788963,2.349295,2.309876,2.316977,2.334992,2.31717,19.907818,17.793036,16.68873,16.17972,15.779379,19.907818,17.793036,16.68873,16.17972,15.779379,20.021889,17.822865,16.768545,16.257145,15.932293
587724240697753753,2.018692,2.67276,2.283079,2.255923,2.169226,2.763204,6.568596,5.497206,5.68699,5.451794,0.073149,2.344117,2.426807,2.447454,2.341756,21.141447,18.91494,17.490955,17.030144,16.59313,21.141447,18.91494,17.490955,17.030144,16.59313,21.274897,18.730082,17.559631,16.966879,16.581411
587724240160882733,12.759911,2.062711,2.741848,3.014206,2.408779,14.52976,5.116682,8.085835,9.280457,10.039758,0.942904,2.208002,2.363281,2.346977,2.395629,22.071583,19.738445,18.148148,17.539877,17.216007,22.071583,19.738445,18.148148,17.539877,17.216007,20.857119,19.917374,18.090847,17.424187,17.262043
587724241771561186,3.791313,2.13463,1.958523,2.019129,2.133129,4.777829,5.914666,5.521074,5.106495,4.588222,1.869694,2.313461,2.379838,2.466111,2.549626,22.057877,19.810814,18.166027,17.531162,17.112104,22.057877,19.810814,18.166027,17.531162,17.112104,21.567234,19.899717,18.361202,17.694979,17.260332
587727179549311104,3.366592,3.675963,3.653866,3.655691,3.241974,10.098912,10.861911,11.276226,11.341811,9.422283,2.227836,2.419902,2.439065,2.429326,2.407897,19.102898,17.057571,15.903497,15.401531,14.978304,19.102898,17.057571,15.903497,15.401531,14.978304,19.305733,17.191895,16.033289,15.54044,15.217765
587724242308432093,2.123915,1.894921,1.806919,1.730622,1.670235,4.310118,4.018768,4.046259,4.060711,4.35171,2.070809,2.227784,2.239148,2.255374,2.278811,19.741535,18.511032,17.85594,17.442635,17.217684,19.741535,18.511032,17.85594,17.442635,17.217684,19.555376,18.469521,17.841841,17.453232,17.255461
