objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587731187277627676,1.585448,1.580472,1.492296,1.556319,1.566259,4.1606,4.04389,4.029931,4.024867,4.124718,2.304525,2.292462,2.300516,2.317161,2.33193,20.188246,18.192913,17.248646,16.821413,16.501003,20.188246,18.192913,17.248646,16.821413,16.501003,20.324873,18.325911,17.370535,16.95052,16.610016
587727223024189605,2.090823,1.754263,1.764493,1.68814,1.599377,6.321747,5.307231,5.384158,5.245993,4.586648,2.26133,2.137489,2.170677,2.195107,2.202255,20.254305,18.457386,17.50943,17.012754,16.635496,20.254305,18.457386,17.50943,17.012754,16.635496,20.045219,18.391531,17.439095,16.986162,16.652962
587730774425665704,1.967605,1.832129,1.72935,1.651205,1.609261,4.936267,4.209877,4.113716,3.898553,3.742955,2.115025,2.175619,2.267497,2.252355,2.209407,19.896667,18.594507,17.825783,17.375797,17.071014,19.896667,18.594507,17.825783,17.375797,17.071014,19.681223,18.519894,17.794382,17.386526,17.120817
587727178449485858,2.053708,1.59993,1.786578,1.981697,2.19215,3.145815,2.806454,3.582177,3.908428,5.1297,0.193242,2.048221,2.173786,2.276978,2.345063,21.671019,18.857273,17.726645,17.171476,16.681942,21.671019,18.857273,17.726645,17.171476,16.681942,21.263901,18.978092,17.732025,17.087667,16.492132
587731187277693069,2.051601,1.677627,1.595021,1.666904,1.668938,5.904486,5.030412,4.923845,5.097013,5.161428,1.417034,2.286669,2.302106,2.308,2.361159,21.129303,18.959829,17.630045,17.12801,16.800219,21.129303,18.959829,17.630045,17.12801,16.800219,20.941229,18.999527,17.694847,17.174059,16.847116
587727180596969574,3.768706,3.113444,3.067039,2.960384,2.830489,8.604075,6.582727,6.722594,6.355211,5.51971,2.013638,2.047236,2.134624,2.134578,2.149653,18.375017,17.546513,17.163803,16.972952,16.881645,18.375017,17.546513,17.163803,16.972952,16.881645,18.167505,17.489305,17.169916,17.032715,16.989632
587731187277693072,4.293431,4.314952,4.174541,4.141495,3.977908,8.261302,9.355454,9.485429,9.34148,8.950974,2.17862,2.418522,2.501528,2.487083,2.519744,18.578293,16.684883,15.744037,15.301594,14.959186,18.578293,16.684883,15.744037,15.301594,14.959186,18.474554,16.608288,15.707591,15.262076,14.960377
588015509806252152,1.382039,1.699371,1.601025,1.554212,1.470496,2.551292,4.60681,4.622484,4.484382,4.28417,2.401011,2.274573,2.321042,2.315845,2.27696,20.181574,18.078548,17.067057,16.650826,16.30497,20.181574,18.078548,17.067057,16.650826,16.30497,20.446974,18.137178,17.173811,16.760454,16.442686
587730775499407527,4.795204,1.912152,1.916413,1.933014,1.85866,7.16622,5.994941,6.178671,6.122903,5.953684,2.176046,2.360601,2.350001,2.322545,2.30092,20.82798,18.764637,17.604305,17.111202,16.734596,20.82798,18.764637,17.604305,17.111202,16.734596,20.279341,18.81307,17.636044,17.154799,16.810858
587730773888794648,3.009283,1.244219,1.972855,1.956122,1.614862,8.433485,2.696008,5.580799,5.657684,4.580313,0.149214,2.393614,2.428118,2.383459,2.393367,24.05168,20.567591,18.676725,18.008539,17.570744,24.05168,20.567591,18.676725,18.008539,17.570744,21.994936,21.048279,18.761753,18.10087,17.806467
587730772815052960,2.385475,1.885333,1.818266,1.767846,1.879497,3.302445,3.894381,4.143446,3.913211,4.819632,0.526519,2.347266,2.404614,2.404797,2.409597,20.964775,19.023371,17.65177,17.102741,16.742105,20.964775,19.023371,17.65177,17.102741,16.742105,20.838568,19.239822,17.915253,17.405838,16.984161
587727221413576845,2.843822,2.564396,2.298073,2.175297,2.065283,5.365125,6.14248,5.6458,5.227133,5.06691,2.247217,2.5425,2.541387,2.45566,2.451178,20.013222,18.291327,17.279366,16.797373,16.399788,20.013222,18.291327,17.279366,16.797373,16.399788,19.914553,18.380777,17.459579,17.033215,16.690287
587730774962536636,1.191313,1.810034,1.667614,1.685731,1.650906,1.864729,4.555991,4.596019,4.480741,4.160295,2.393083,2.372272,2.367246,2.382885,2.346612,20.79608,18.934505,17.748234,17.208269,16.872278,20.79608,18.934505,17.748234,17.208269,16.872278,21.340042,18.991068,17.853884,17.326237,17.007946
587730772815052965,0.439865,2.745979,2.658708,2.829694,3.121733,0.652408,7.229618,7.420148,8.545604,9.365797,0.804758,2.413531,2.447788,2.443502,2.351471,21.902746,19.092985,17.776453,17.251724,16.872717,21.902746,19.092985,17.776453,17.251724,16.872717,24.135803,19.187344,17.895552,17.337856,16.910934
587727223024189636,1.791463,2.304121,2.228663,2.14697,2.358694,5.77408,7.580973,7.559499,7.471456,7.540757,2.361136,2.318998,2.334724,2.309528,2.323238,20.539488,18.603907,17.555716,17.088919,16.732115,20.539488,18.603907,17.555716,17.088919,16.732115,20.694023,18.580309,17.550194,17.120228,16.73053
588015508195639389,3.043395,2.130303,2.017249,1.92681,1.708887,8.951961,6.369307,6.509861,6.373647,6.275486,1.985891,2.266685,2.305383,2.298692,2.300772,20.749382,18.541143,17.268162,16.729786,16.267065,20.749382,18.541143,17.268162,16.729786,16.267065,20.576477,18.60236,17.372189,16.843552,16.467598
587731187814563977,8.556699,9.317319,8.707485,8.529959,7.552037,15.509503,17.13471,16.392344,16.091295,13.781033,2.076,2.089978,2.268287,2.33331,2.404523,16.330452,14.959223,14.40857,14.089198,13.883699,16.330452,14.959223,14.40857,14.089198,13.883699,16.319033,14.846358,14.401175,14.127964,14.054595
587727180596969596,4.903299,1.954844,1.737381,1.690659,1.701206,7.13164,5.23379,4.70364,4.597065,5.059945,2.270956,2.2291,2.247399,2.229744,2.187959,20.54077,18.786989,17.642799,17.136515,16.72086,20.54077,18.786989,17.642799,17.136515,16.72086,20.159895,18.902945,17.856615,17.387171,16.969933
587730775499407554,1.524573,1.810474,1.651194,1.592593,1.597782,2.937647,5.120195,4.864661,4.746772,4.455776,2.413871,2.293632,2.291254,2.250692,2.232685,20.366274,18.717251,17.697205,17.197872,16.88043,20.366274,18.717251,17.697205,17.197872,16.88043,20.583536,18.725744,17.769852,17.308037,16.976887
587727225690128575,2.016423,2.321146,2.287209,2.325669,2.285896,6.540219,6.67732,6.791846,6.979477,6.850774,2.302751,2.274117,2.29858,2.28756,2.285521,19.09115,17.111736,16.136877,15.698504,15.311743,19.09115,17.111736,16.136877,15.698504,15.311743,19.179842,17.13147,16.152664,15.688519,15.347211
587727223024189761,3.450912,3.120224,2.816931,2.514778,2.149892,5.47326,6.205402,5.988624,5.082074,4.509918,1.584147,2.094836,2.19151,2.330676,2.252484,20.199572,18.525682,17.722324,17.296972,17.114649,20.199572,18.525682,17.722324,17.296972,17.114649,20.057686,18.487032,17.776569,17.49188,17.428032
587727179523227783,1.318537,1.479492,1.411412,1.37688,1.280633,2.3385,2.914874,2.804543,2.812751,2.574951,2.17507,2.135393,2.190486,2.16775,2.303364,19.549086,18.91778,18.46027,18.12015,18.00009,19.549086,18.91778,18.46027,18.12015,18.00009,19.738104,18.93479,18.491472,18.18652,18.142458
